Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
2.39333e+09,Capacitance,2.58556e-12,-3.479e-13,2.58556e-12
2.46667e+09,Resistance,0.914385,0.026457,0.914385
2.46667e+09,Inductance,6.29543e-09,8.42075e-10,6.29543e-09
2.46667e+09,Conductance,0.000876761,-0.000125574,0.000876761
2.46667e+09,Capacitance,2.58558e-12,-3.47905e-13,2.58558e-12
2.54e+09,Resistance,0.927966,0.0268914,0.927966
2.54e+09,Inductance,6.29471e-09,8.4205e-10,6.29471e-09
2.54e+09,Conductance,0.000901778,-0.000129076,0.000901778
2.54e+09,Capacitance,2.58557e-12,-3.47903e-13,2.58557e-12
2.61333e+09,Resistance,0.941359,0.0274047,0.941359
2.61333e+09,Inductance,6.29405e-09,8.42033e-10,6.29405e-09
2.61333e+09,Conductance,0.000926782,-0.000132609,0.000926782
2.61333e+09,Capacitance,2.58558e-12,-3.47903e-13,2.58558e-12
2.68667e+09,Resistance,0.954507,0.0275487,0.954507
2.68667e+09,Inductance,6.29343e-09,8.42019e-10,6.29343e-09
2.68667e+09,Conductance,0.000951741,-0.000135987,0.000951741
2.68667e+09,Capacitance,2.58558e-12,-3.47905e-13,2.58558e-12
2.76e+09,Resistance,0.967574,0.0282335,0.967574
2.76e+09,Inductance,6.29279e-09,8.41992e-10,6.29279e-09
2.76e+09,Conductance,0.000976718,-0.000139585,0.000976718
2.76e+09,Capacitance,2.58557e-12,-3.47901e-13,2.58557e-12
2.83333e+09,Resistance,0.980404,0.0285769,0.980404
2.83333e+09,Inductance,6.29221e-09,8.4198e-10,6.29221e-09
2.83333e+09,Conductance,0.00100166,-0.000143042,0.00100166
2.83333e+09,Capacitance,2.58558e-12,-3.47904e-13,2.58558e-12
2.90667e+09,Resistance,0.993055,0.0289031,0.993055
2.90667e+09,Inductance,6.29165e-09,8.41967e-10,6.29165e-09
2.90667e+09,Conductance,0.00102659,-0.000146492,0.00102659
2.90667e+09,Capacitance,2.58558e-12,-3.47905e-13,2.58558e-12
2.98e+09,Resistance,1.00555,0.0291171,1.00555
2.98e+09,Inductance,6.2911e-09,8.4195e-10,6.2911e-09
2.98e+09,Conductance,0.00105149,-0.00014989,0.00105149
2.98e+09,Capacitance,2.58558e-12,-3.47904e-13,2.58558e-12
3.05333e+09,Resistance,1.01792,0.0296158,1.01792
3.05333e+09,Inductance,6.29057e-09,8.41928e-10,6.29057e-09
3.05333e+09,Conductance,0.0010764,-0.000153407,0.0010764
3.05333e+09,Capacitance,2.58557e-12,-3.47902e-13,2.58557e-12
3.12667e+09,Resistance,1.0301,0.0298896,1.0301
3.12667e+09,Inductance,6.29008e-09,8.41926e-10,6.29008e-09
3.12667e+09,Conductance,0.00110129,-0.000156831,0.00110129
3.12667e+09,Capacitance,2.58558e-12,-3.47907e-13,2.58558e-12
3.2e+09,Resistance,1.0422,0.03044,1.0422
3.2e+09,Inductance,6.28957e-09,8.41896e-10,6.28957e-09
3.2e+09,Conductance,0.00112617,-0.000160365,0.00112617
3.2e+09,Capacitance,2.58557e-12,-3.479e-13,2.58557e-12
3.27333e+09,Resistance,1.05412,0.0306956,1.05412
3.27333e+09,Inductance,6.28911e-09,8.41893e-10,6.28911e-09
3.27333e+09,Conductance,0.00115102,-0.000163776,0.00115102
3.27333e+09,Capacitance,2.58558e-12,-3.47905e-13,2.58558e-12
3.34667e+09,Resistance,1.06594,0.0312503,1.06594
3.34667e+09,Inductance,6.28863e-09,8.41866e-10,6.28863e-09
3.34667e+09,Conductance,0.00117589,-0.000167309,0.00117589
3.34667e+09,Capacitance,2.58557e-12,-3.47899e-13,2.58557e-12
3.42e+09,Resistance,1.07757,0.0314979,1.07757
3.42e+09,Inductance,6.28819e-09,8.41851e-10,6.28819e-09
3.42e+09,Conductance,0.00120072,-0.000170717,0.00120072
3.42e+09,Capacitance,2.58557e-12,-3.47898e-13,2.58557e-12
3.49333e+09,Resistance,1.08909,0.0317197,1.08909
3.49333e+09,Inductance,6.28779e-09,8.41862e-10,6.28779e-09
3.49333e+09,Conductance,0.00122554,-0.000174113,0.00122554
3.49333e+09,Capacitance,2.58558e-12,-3.47908e-13,2.58558e-12
3.56667e+09,Resistance,1.10051,0.0319811,1.10051
3.56667e+09,Inductance,6.28735e-09,8.41826e-10,6.28735e-09
3.56667e+09,Conductance,0.00125034,-0.000177518,0.00125034
3.56667e+09,Capacitance,2.58557e-12,-3.47898e-13,2.58557e-12
3.64e+09,Resistance,1.11179,0.0324911,1.11179
3.64e+09,Inductance,6.28698e-09,8.41854e-10,6.28698e-09
3.64e+09,Conductance,0.00127518,-0.000181038,0.00127518
3.64e+09,Capacitance,2.58559e-12,-3.47914e-13,2.58559e-12
3.71333e+09,Resistance,1.12303,0.0327596,1.12303
3.71333e+09,Inductance,6.28656e-09,8.41792e-10,6.28656e-09
3.71333e+09,Conductance,0.00129994,-0.000184435,0.00129994
3.71333e+09,Capacitance,2.58557e-12,-3.47893e-13,2.58557e-12
3.78667e+09,Resistance,1.13407,0.0330037,1.13407
3.78667e+09,Inductance,6.28618e-09,8.41786e-10,6.28618e-09
3.78667e+09,Conductance,0.00132473,-0.000187838,0.00132473
3.78667e+09,Capacitance,2.58557e-12,-3.47895e-13,2.58557e-12
3.86e+09,Resistance,1.14499,0.033898,1.14499
3.86e+09,Inductance,6.28583e-09,8.41823e-10,6.28583e-09
3.86e+09,Conductance,0.00134959,-0.000191523,0.00134959
3.86e+09,Capacitance,2.58558e-12,-3.47915e-13,2.58558e-12
3.93333e+09,Resistance,1.1559,0.0353418,1.1559
3.93333e+09,Inductance,6.28548e-09,8.41809e-10,6.28548e-09
3.93333e+09,Conductance,0.00137446,-0.000195425,0.00137446
3.93333e+09,Capacitance,2.58558e-12,-3.47913e-13,2.58558e-12
4.00667e+09,Resistance,1.16675,0.0352879,1.16675
4.00667e+09,Inductance,6.28513e-09,8.4173e-10,6.28513e-09
4.00667e+09,Conductance,0.00139913,-0.000198674,0.00139913
4.00667e+09,Capacitance,2.58557e-12,-3.47884e-13,2.58557e-12
4.08e+09,Resistance,1.17725,0.0341105,1.17725
4.08e+09,Inductance,6.28477e-09,8.41797e-10,6.28477e-09
4.08e+09,Conductance,0.00142378,-0.000201491,0.00142378
4.08e+09,Capacitance,2.58558e-12,-3.47917e-13,2.58558e-12
4.15333e+09,Resistance,1.18782,0.0345182,1.18782
4.15333e+09,Inductance,6.28445e-09,8.4176e-10,6.28445e-09
4.15333e+09,Conductance,0.00144853,-0.00020495,0.00144853
4.15333e+09,Capacitance,2.58558e-12,-3.47906e-13,2.58558e-12
4.22667e+09,Resistance,1.19835,0.034893,1.19835
4.22667e+09,Inductance,6.28414e-09,8.41728e-10,6.28414e-09
4.22667e+09,Conductance,0.00147325,-0.00020839,0.00147325
4.22667e+09,Capacitance,2.58558e-12,-3.47896e-13,2.58558e-12
4.3e+09,Resistance,1.20869,0.0350946,1.20869
4.3e+09,Inductance,6.28382e-09,8.4173e-10,6.28382e-09
4.3e+09,Conductance,0.00149797,-0.000211769,0.00149797
4.3e+09,Capacitance,2.58558e-12,-3.47901e-13,2.58558e-12
4.37333e+09,Resistance,1.21894,0.0354997,1.21894
4.37333e+09,Inductance,6.2835e-09,8.41736e-10,6.2835e-09
4.37333e+09,Conductance,0.00152271,-0.000215236,0.00152271
4.37333e+09,Capacitance,2.58557e-12,-3.47907e-13,2.58557e-12
4.44667e+09,Resistance,1.22917,0.0355525,1.22917
4.44667e+09,Inductance,6.28323e-09,8.41702e-10,6.28323e-09
4.44667e+09,Conductance,0.00154738,-0.000218539,0.00154738
4.44667e+09,Capacitance,2.58558e-12,-3.47897e-13,2.58558e-12
4.52e+09,Resistance,1.2393,0.0364767,1.2393
4.52e+09,Inductance,6.28291e-09,8.41719e-10,6.28291e-09
4.52e+09,Conductance,0.00157214,-0.000222221,0.00157214
4.52e+09,Capacitance,2.58557e-12,-3.47907e-13,2.58557e-12
4.59333e+09,Resistance,1.24932,0.0361875,1.24932
4.59333e+09,Inductance,6.28265e-09,8.41693e-10,6.28265e-09
4.59333e+09,Conductance,0.00159678,-0.000225383,0.00159678
4.59333e+09,Capacitance,2.58558e-12,-3.479e-13,2.58558e-12
4.66667e+09,Resistance,1.25928,0.03694,1.25928
4.66667e+09,Inductance,6.28236e-09,8.41694e-10,6.28236e-09
4.66667e+09,Conductance,0.00162152,-0.000228989,0.00162152
