Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
2.39333e+09,Capacitance,2.82235e-12,-1.49031e-13,2.82235e-12
2.46667e+09,Resistance,1.63293,0.0380413,1.63293
2.46667e+09,Inductance,1.13277e-08,5.95029e-10,1.13277e-08
2.46667e+09,Conductance,0.000874873,-4.62067e-05,0.000874873
2.46667e+09,Capacitance,2.82234e-12,-1.4903e-13,2.82234e-12
2.54e+09,Resistance,1.65676,0.0382637,1.65676
2.54e+09,Inductance,1.13261e-08,5.95013e-10,1.13261e-08
2.54e+09,Conductance,0.000900885,-4.75207e-05,0.000900885
2.54e+09,Capacitance,2.82234e-12,-1.49035e-13,2.82234e-12
2.61333e+09,Resistance,1.68017,0.038868,1.68017
2.61333e+09,Inductance,1.13246e-08,5.94966e-10,1.13246e-08
2.61333e+09,Conductance,0.000926927,-4.89122e-05,0.000926927
2.61333e+09,Capacitance,2.82235e-12,-1.49034e-13,2.82235e-12
2.68667e+09,Resistance,1.70343,0.0395599,1.70343
2.68667e+09,Inductance,1.13232e-08,5.94887e-10,1.13232e-08
2.68667e+09,Conductance,0.000952901,-5.02868e-05,0.000952901
2.68667e+09,Capacitance,2.82234e-12,-1.49021e-13,2.82234e-12
2.76e+09,Resistance,1.72578,0.0388462,1.72578
2.76e+09,Inductance,1.13218e-08,5.94916e-10,1.13218e-08
2.76e+09,Conductance,0.000978993,-5.13867e-05,0.000978993
2.76e+09,Capacitance,2.82235e-12,-1.49037e-13,2.82235e-12
2.83333e+09,Resistance,1.74862,0.0389301,1.74862
2.83333e+09,Inductance,1.13206e-08,5.94841e-10,1.13206e-08
2.83333e+09,Conductance,0.0010049,-5.26256e-05,0.0010049
2.83333e+09,Capacitance,2.82232e-12,-1.49023e-13,2.82232e-12
2.90667e+09,Resistance,1.77082,0.0410665,1.77082
2.90667e+09,Inductance,1.13192e-08,5.94826e-10,1.13192e-08
2.90667e+09,Conductance,0.001031,-5.4413e-05,0.001031
2.90667e+09,Capacitance,2.82235e-12,-1.49029e-13,2.82235e-12
2.98e+09,Resistance,1.79307,0.0418071,1.79307
